Team,Context,Period,Avg_Minute,Std_Minute,SEM,IQR_Q1,IQR_Q3,Goal_Count,Total_Matches
Oriente P.,AWAY,2,70.44,13.089690599857585,2.617938119971517,62.0,80.0,25,14
Oriente P.,HOME,2,77.96153846153847,13.079696538469902,2.5651395339050014,69.25,88.0,26,12
Oriente P.,HOME,1,24.9375,14.883855907212576,3.720963976803144,13.75,35.5,16,11
Real Oruro,AWAY,2,73.96551724137932,14.128195614799832,2.623540062521796,65.0,84.0,29,12
Real Oruro,AWAY,1,25.9,13.26610243003613,2.9663906830035933,13.75,35.5,20,11
Real Oruro,HOME,1,25.80952380952381,13.666085934235332,2.982184440352605,14.0,37.0,21,11
Real Oruro,HOME,2,73.8529411764706,14.85920254180059,2.5483322122647722,64.0,88.75,34,12
Real Tomayapo,AWAY,1,29.5625,15.840743879839314,3.9601859699598285,13.25,42.75,16,9
Real Tomayapo,HOME,1,22.294117647058822,12.945871474539446,3.139835029717458,8.0,29.0,17,10
Real Tomayapo,HOME,2,69.39285714285714,14.530527980298698,2.746011675309714,54.75,83.25,28,13
Real Tomayapo,AWAY,2,71.14285714285714,11.976166808648392,2.61341385409757,64.0,82.0,21,9
SA Bulo Bulo,AWAY,1,23.88235294117647,13.655961852526062,3.3120572433747277,14.0,36.0,17,10
SA Bulo Bulo,AWAY,2,71.43243243243244,15.952256093558507,2.6225347470167337,55.0,88.0,37,14
SA Bulo Bulo,HOME,1,25.75,15.824281807931825,3.538416981764883,13.25,43.25,20,11
SA Bulo Bulo,HOME,2,68.8,15.299122781870105,3.4209878536377243,56.5,83.25,20,11
The Strongest,AWAY,1,25.91304347826087,15.105426609118933,3.1496991784825803,13.0,39.0,23,12
The Strongest,AWAY,2,71.17857142857143,14.598461541035046,2.758849911551391,59.75,88.0,28,13
The Strongest,HOME,1,30.571428571428573,12.656219584848161,2.391800682838098,17.75,42.5,28,13
The Strongest,HOME,2,68.3125,14.411996570957486,2.5477051264403268,53.75,80.0,32,12
U. de Vinto,HOME,1,25.263157894736842,11.312933136032886,2.59536485763158,16.0,33.0,19,9
U. de Vinto,HOME,2,72.0,12.676578882881337,2.5875958289333063,66.0,81.25,24,12
U. de Vinto,AWAY,2,70.0952380952381,14.303512722072021,3.121282369174233,55.0,80.0,21,12
U. de Vinto,AWAY,1,26.466666666666665,12.866716012735374,3.322171789180293,15.5,37.0,15,9
Wilstermann,HOME,1,28.0,12.752896284231422,2.659162696237161,17.0,39.0,23,11
Wilstermann,AWAY,1,27.071428571428573,12.748841791824347,3.407271290227993,17.5,36.0,14,9
Wilstermann,AWAY,2,74.2,15.58578412100805,3.11715682420161,62.0,90.0,25,12
Wilstermann,HOME,2,73.85,13.390000196533153,2.9940950658183674,66.0,83.5,20,10
Bielefeld,HOME,1,25.90909090909091,12.501636256542945,3.769385157132383,17.5,33.5,11,7
